Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Repeater Use,Operating Mode,Name,Sub Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Skip,Step,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,LatLng,Latitude,Longitude,UTC Offset,Bank,Bank Channel Number,Comment
444.3,449.3,5.00 MHz,+DUP,,FM,VA3AAR,,T Sql,100.0 Hz,100.0 Hz,23,Both N,Off,10 kHz,Off,0,,,,,,,,,,FN15VF52ET Almonte Fire Hall
145.55,144.95,600 kHz,-DUP,,FM,VA3AAR,,Tone,88.5 Hz,88.5 Hz,23,Both N,Off,5kHz,Off,0,,,,,,,,,,FN15UD Union Hall
147.27,147.87,600 kHz,+DUP,,FM,VA3ARE,,T Sql,100.0 Hz,100.0 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN15VD29FP Almonte at VE3CFZ
146.64,146.04,600 kHz,-DUP,,FM,VE3KJG,,Tone,100.0 Hz,100.0 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN15PB91SB Lavant
145.23,144.63,600 kHz,-DUP,,NFM,VA3TEL,,T Sql,100.0 Hz,100.0 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN14ST76TP Christie Lake
146.955,146.355,600 kHz,-DUP,,NFM,VE3LCA,,T Sql,100.0 Hz,100.0 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN14vvPerth-RideauFerry 
442.2,447.2,5.00 MHz,+DUP,,NFM,VE3REX,,T Sql,100.0 Hz,100.0 Hz,23,Both N,Off,10 kHz,Off,0,,,,,,,,,,FN14WU70DM Rideau Ferry
442.4,447.4,5.00 MHz,+DUP,,FM,VE3WPO,,Tone,100.0 Hz,100.0 Hz,23,Both N,Off,10 kHz,Off,0,,,,,,,,,,FN14TQ20KL Westport
147.21,147.81,600 kHz,+DUP,,FM,VE3RLR,,T Sql,151.4 Hz,151.4 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN14XV66OK Railway Museum
442.75,447.75,5.00 MHz,+DUP,,FM,VE3RLR,,T Sql,151.4 Hz,151.4 Hz,23,Both N,Off,10 kHz,Off,0,,,,,,,,,,FN14XV66OK Railway Museum
146.88,146.28,600 kHz,-DUP,,FM,VE3OCE,,T Sql,136.5 Hz,136.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN25EJ02OB Alta Vista
443.8,448.8,5.00 MHz,+DUP,,FM,VE3OCE,,T Sql,136.5 Hz,136.5 Hz,23,Both N,Off,10 kHz,Off,0,,,,,,,,,,FN25EJ02OB Alta Vista
146.67,146.07,600 kHz,-DUP,,FM,VA3OFS,,T Sql,136.5 Hz,136.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN25DG06EE Barrhaven
444.95,449.95,5.00 MHz,+DUP,,FM,VA3OFS,,T Sql,136.5 Hz,136.5 Hz,23,Both N,Off,10 kHz,Off,0,,,,,,,,,,FN25DG06EE Barrhaven
146.985,146.385,600 kHz,-DUP,,FM,VA3EMV/E,,T Sql,100.0 Hz,100.0 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN25GL12NI Orleans
145.21,144.61,600 kHz,-DUP,,FM,VA3EMV/W,,T Sql,123.0 Hz,123.0 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN25BG01GA Stittsville
145.11,144.51,600 kHz,-DUP,,FM,VA3EMV/P,,T Sql,136.5 Hz,136.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN25EJ02OB Alta Vista
444.225,449.225,5.00 MHz,+DUP,,FM,VE3NGR,,T Sql,103.5 Hz,103.5 Hz,23,Both N,Off,10 kHz,Off,0,,,,,,,,,,FN24DX Kemptville West
145.45,144.85,600 kHz,-DUP,,FM,VE3RIX,,T Sql,151.4 Hz,151.4 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,Don't know where this is located
442.45,447.45,5.00 MHz,+DUP,,FM,VE3RIX,,T Sql,151.4 Hz,151.4 Hz,23,Both N,Off,10 kHz,Off,0,,,,,,,,,,Don't know where this is located
147.03,146.43,600 kHz,+DUP,,FM,VE3TEL,,T Sql,100.0 Hz,100.0 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,Don't know where this is located
146.94,146.34,600 kHz,-DUP,,FM,VE2CRA,,T Sql,100.0 Hz,100.0 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN25BM80AQ Camp Fortune
443.3,448.3,5.00 MHz,+DUP,,FM,VE2CRA,,T Sql,100.0 Hz,100.0 Hz,23,Both N,Off,10 kHz,Off,0,,,,,,,,,,FN25BM80AQ Camp Fortune
147.3,147.9,600 kHz,+DUP,,FM,VE3TWO,,T Sql,100.0 Hz,100.0 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN25GG16CW Metcalfe at VE3BOE
147.15,147.75,600 kHz,+DUP,,FM,VE3MPC,,T Sql,100.0 Hz,100.0 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN25FK69VT Orleans at VE3LC
443.7,448.7,5.00 MHz,+DUP,,FM,VE3RAM,,T Sql,100.0 Hz,100.0 Hz,23,Both N,Off,10 kHz,Off,0,,,,,,,,,,FN25FK69VT Orleans at VE3LC
145.39,144.79,600 kHz,-DUP,,FM,VE3STP,,T Sql,114.8 Hz,114.8 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN15NH24WI Kennellys Mountain
147.06,146.46,600 kHz,-DUP,,FM,VE3STP,,T Sql,114.8 Hz,114.8 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN15NH24WI Kennellys Mountain
146.625,146.025,600 kHz,-DUP,,FM,VE3LGA,,T Sql,100.0 Hz,100.0 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN14xiLansdowne
146.82,146.22,600 kHz,-DUP,,FM,VE3IWJ,,T Sql,100.0 Hz,100.0 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN14doBrockville
147.12,147.72,600 kHz,+DUP,,FM,VE3ZRR,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN15PM Pinnacle Hill
145.43,144.83,600 kHz,-DUP,,FM,VE3UCR,,T Sql,114.8 Hz,114.8 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN15IK33LD Foymount
146.79,146.19,600 kHz,-DUP,,FM,VA3RBW,,T Sql,114.8 Hz,114.8 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN16FD10VJ Point Alexander
146.805,146.205,600 kHz,-DUP,,FM,VE3FRG,,T Sql,203.5 Hz,203.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN14RH61KG South Frontenac
144.39,144.39, ,Simplex,,FM,APRS,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,APRS North America
145.01,145.01, ,Simplex,,FM,VE3STP,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN25EJ02OB Kennellys Mountain
145.03,145.03, ,Simplex,,FM,OCEPKT,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FN25EJ02OB Alta Vista
145.07,145.07, ,Simplex,,FM,ALTPKT1,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,Alternate packet frequency 1
145.09,145.09, ,Simplex,,FM,ALTPKT2,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,Alternate packet frequency 2
145.825,145.825, ,Simplex,,FM,ISSPKT1,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,Packet via ISS
437.55,437.55, ,Simplex,,FM,ISSPKT2,,None,88.5 Hz,88.5 Hz,23,Both N,Off,10 kHz,Off,0,,,,,,,,,,Packet via ISS
146.52,146.52, ,Simplex,,FM,CALL2M,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,FM simplex calling frequency
146.55,146.55, ,Simplex,,FM,A-SIMPLX,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,Simplex channel A
146.565,146.565, ,Simplex,,FM,C-SIMPLX,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,Simplex channel C
147.42,147.42, ,Simplex,,FM,B-SIMPLX,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,Simplex channel B
446,446, ,Simplex,,FM,CALL70,,None,88.5 Hz,88.5 Hz,23,Both N,Off,10 kHz,Off,0,,,,,,,,,,FM simplex calling frequency
446.025,446.025, ,Simplex,,FM,D-SIMPLX,,None,88.5 Hz,88.5 Hz,23,Both N,Off,10 kHz,Off,0,,,,,,,,,,Simplex channel D
446.05,446.05, ,Simplex,,FM,E-SIMPLX,,None,88.5 Hz,88.5 Hz,23,Both N,Off,10 kHz,Off,0,,,,,,,,,,Simplex channel E
153.815,153.815, ,Simplex,,FM,CTYFIRE,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,County Fire Dispatch
150.53,150.53, ,Simplex,,FM,CTYFTACT,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,County Fire Tactical
414.1125,414.1125, ,Simplex,,FM,ONTFIRE,,None,88.5 Hz,88.5 Hz,23,Both N,Off,10 kHz,Off,0,,,,,,,,,,Ontario Fire Marshall
169.365,169.365, ,Simplex,,FM,CTYROADS,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,County Roads
151.85,151.85, ,Simplex,,FM,STOCKBUS,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,County School Buses
157.545,157.545, ,Simplex,,FM,HEALYBUS,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,County School Buses
162.27,162.27, ,Simplex,,FM,PERTHTWN,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,Perth District Public Works
169.53,169.53, ,Simplex,,FM,PERTHPW,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,Perth Public Works
143,143, ,Simplex,,FM,AMBULNCE,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,County Ambulance
126.7,126.7, ,Simplex,,AM,AIRAMBL,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,Air Ambulance VFR Enroute
122.9,122.9, ,Simplex,,AM,SFAIRPT,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,Smiths Falls UNICOM
118.8,118.8, ,Simplex,,AM,OTTTWR,,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz,Off,0,,,,,,,,,,Ottawa International Airport Tower
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,FN15PB91SB Lavant
,,,,,,,,,,,,,,,,,,,,,,,,,,FN15UD Union Hall
,,,,,,,,,,,,,,,,,,,,,,,,,,FN15PM Pinnacle Hill
,,,,,,,,,,,,,,,,,,,,,,,,,,FN15NH24WI Kennellys Mountain